Rank,City,Crime Cost per Capita,Violent Crime Rate,Property Crime Rate,Total Crime Cost (in millions)
1,"Thousand Oaks, CA",$241,58,"1,106","$30,087"
2,"Fishers, IN",$296,78,750,"$30,461"
3,"Pembroke Pines, FL",$322,107,"1,509","$54,679"
4,"Pearland, TX",$328,93,"1,709","$41,338"
5,"Gilbert, AZ",$356,117,"1,017","$98,607"
6,"Irvine, CA",$364,75,"1,479","$113,342"
7,"Coral Springs, FL",$375,87,780,"$50,053"
8,"Naperville, IL",$402,52,814,"$59,935"
9,"Simi Valley, CA",$404,95,851,"$50,783"
10,"Carmel, IN",$405,65,808,"$41,191"
11,"Surprise, AZ",$418,118,"1,403","$64,354"
12,"Plano, TX",$420,158,"1,896","$121,875"
13,"Elk Grove, CA",$427,202,"1,312","$76,953"
14,"Mckinney, TX",$437,114,"1,038","$90,647"
15,"Temecula, CA",$461,157,"2,375","$51,498"
16,"Woodbridge Township, NJ",$478,188,"1,764","$49,205"
17,"League City, TX",$490,108,"1,285","$57,050"
18,"Roseville, CA",$502,163,"1,885","$78,032"
19,"Stamford, CT",$514,193,"1,169","$70,326"
20,"Amherst Town, NY",$524,156,"1,720","$64,714"
21,"Buckeye, AZ",$528,186,"1,037","$58,066"
22,"Port St. Lucie, FL",$536,117,762,"$122,639"
23,"Scottsdale, AZ",$543,158,"1,921","$131,949"
24,"Yonkers, NY",$556,310,916,"$115,632"
25,"Centennial, CO",$569,197,"2,110","$60,250"
26,"Richardson, TX",$574,158,"2,272","$68,236"
27,"Bend, OR",$578,151,"1,586","$60,438"
28,"Goodyear, AZ",$579,169,"1,861","$62,110"
29,"Peoria, AZ",$586,195,"1,382","$115,933"
30,"Bellevue, WA",$586,156,"3,786","$86,231"
31,"Clovis, CA",$597,188,"1,734","$74,314"
32,"Sterling Heights, MI",$598,205,"1,168","$79,110"
33,"Murrieta, CA",$602,274,"1,245","$68,988"
34,"Round Rock, TX",$602,169,"2,304","$76,671"
35,"Rochester, MN",$614,223,"1,873","$74,650"
36,"Olathe, KS",$627,224,"1,208","$90,690"
37,"College Station, TX",$633,204,"1,926","$76,973"
38,"Menifee, CA",$657,290,"1,372","$72,080"
39,"Arlington, VA",$670,290,"1,779","$156,765"
40,"Henderson, NV",$673,303,"1,919","$218,814"
41,"Fontana, CA",$676,287,"1,287","$143,722"
42,"Ann Arbor, MI",$696,308,"1,716","$83,917"
43,"Fremont, CA",$699,209,"2,872","$156,187"
44,"Torrance, CA",$702,265,"2,640","$98,610"
45,"Carrollton, TX",$702,207,"1,661","$93,853"
46,"Burbank, CA",$703,310,"2,723","$72,807"
47,"Boise, ID",$709,247,"1,204","$169,473"
48,"St. George, UT",$712,163,"1,094","$74,201"
49,"Arvada, CO",$713,259,"3,033","$87,241"
50,"Huntington Beach, CA",$713,254,"2,242","$138,741"
51,"Vacaville, CA",$715,314,"1,855","$74,005"
52,"Rancho Cucamonga, CA",$722,370,"2,018","$126,806"
53,"Ventura, CA",$754,355,"2,185","$82,478"
54,"Elgin, IL",$759,190,752,"$85,876"
55,"Escondido, CA",$762,345,"1,795","$114,331"
56,"Sandy Springs, GA",$765,139,"1,496","$81,680"
57,"Corona, CA",$768,216,"2,403","$124,313"
58,"Garland, TX",$772,246,"2,562","$186,109"
59,"Virginia Beach, VA",$773,87,"1,611","$353,731"
60,"Santa Clara, CA",$773,312,"3,597","$98,091"
61,"Aurora, IL",$774,218,905,"$141,057"
62,"Dearborn, MI",$779,282,"1,921","$83,464"
63,"Garden Grove, CA",$804,311,"2,191","$135,971"
64,"Fort Collins, CO",$810,321,"2,606","$136,126"
65,"Overland Park, KS",$818,222,"2,394","$160,814"
66,"Alexandria, VA",$818,186,"1,952","$123,482"
67,"Honolulu, HI",$832,253,"2,578","$827,997"
68,"Mcallen, TX",$849,196,"1,952","$123,496"
69,"Fullerton, CA",$854,392,"2,653","$119,992"
70,"Concord, NC",$876,106,984,"$96,070"
71,"Madison, WI",$879,301,"2,396","$236,976"
72,"Chandler, AZ",$885,182,"1,808","$248,898"
73,"Norman, OK",$886,303,"2,752","$114,237"
74,"Chula Vista, CA",$890,351,"1,277","$247,265"
75,"Grand Prairie, TX",$908,203,"1,888","$181,321"
76,"Quincy, MA",$918,397,"1,090","$93,106"
77,"Jersey City, NJ",$932,220,"1,384","$257,474"
78,"Fort Lauderdale, FL",$945,150,"1,172","$173,025"
79,"Elizabeth, NJ",$979,480,"2,552","$131,280"
80,"El Paso, TX",$983,313,"1,379","$666,732"
81,"Broken Arrow, OK",$984,156,"1,609","$116,835"
82,"Brownsville, TX","$1,000",432,"1,835","$188,897"
83,"Edinburg, TX","$1,024",335,"2,213","$107,462"
84,"Eugene, OR","$1,043",377,"3,415","$182,921"
85,"Thornton, CO","$1,045",285,"3,483","$149,553"
86,"Joliet, IL","$1,055",511,"1,019","$155,748"
87,"West Covina, CA","$1,057",405,"2,308","$110,732"
88,"Westminster, CO","$1,060",331,"4,468","$119,564"
89,"Lee'S Summit, MO","$1,066",138,"2,098","$110,819"
90,"Jurupa Valley, CA","$1,079",321,"2,724","$117,175"
91,"Hillsboro, OR","$1,098",296,"2,567","$116,732"
92,"El Monte, CA","$1,100",384,"1,869","$115,210"
93,"Laredo, TX","$1,105",317,"1,285","$284,081"
94,"Providence, RI","$1,107",340,"2,531","$209,341"
95,"Spokane Valley, WA","$1,112",333,"4,062","$120,221"
96,"Ontario, CA","$1,138",323,"2,129","$204,905"
97,"Chico, CA","$1,158",575,"1,661","$118,666"
98,"Rio Rancho, NM","$1,161",457,"1,672","$124,747"
99,"Moreno Valley, CA","$1,170",370,"2,041","$250,405"
100,"Clearwater, FL","$1,187",396,"1,899","$138,027"
101,"Costa Mesa, CA","$1,189",589,"3,557","$130,588"
102,"San Diego, CA","$1,206",431,"1,818","$1,662,036"
103,"Denton, TX","$1,233",289,"2,381","$190,234"
104,"Rialto, CA","$1,257",502,"2,903","$131,433"
105,"Irving, TX","$1,275",336,"2,531","$324,130"
106,"West Jordan, UT","$1,280",333,"2,155","$148,392"
107,"Manchester, NH","$1,286",412,"2,489","$147,427"
108,"Lincoln, NE","$1,288",382,"2,842","$378,591"
109,"Nampa, ID","$1,294",352,"1,267","$144,229"
110,"Palm Bay, FL","$1,301",346,"1,171","$168,206"
111,"Pasadena, CA","$1,303",383,"2,287","$173,640"
112,"Lowell, MA","$1,307",402,"1,747","$148,088"
113,"Hesperia, CA","$1,320",599,"1,408","$134,310"
114,"Charleston, SC","$1,330",375,"1,889","$202,616"
115,"Warren, MI","$1,340",489,"1,658","$183,808"
116,"Santa Rosa, CA","$1,361",339,"1,359","$239,550"
117,"Oceanside, CA","$1,362",481,"2,006","$233,972"
118,"Salem, OR","$1,385",482,"3,621","$248,906"
119,"Lewisville, TX","$1,393",294,"2,206","$158,244"
120,"Hayward, CA","$1,395",357,"2,901","$218,273"
121,"Mesa, AZ","$1,404",427,"1,770","$720,258"
122,"Allentown, PA","$1,416",313,"2,161","$177,211"
123,"Sioux Falls, SD","$1,439",546,"3,083","$287,711"
124,"Fort Wayne, IN","$1,447",262,"2,387","$387,534"
125,"Concord, CA","$1,453",644,"2,800","$178,696"
126,"Berkeley, CA","$1,457",581,"5,644","$167,346"
127,"Sparks, NV","$1,458",417,"2,011","$161,092"
128,"San Jose, CA","$1,472",527,"2,651","$1,408,279"
129,"New Bedford, MA","$1,479",626,"1,560","$149,971"
130,"Green Bay, WI","$1,495",427,"1,725","$159,798"
131,"Cedar Rapids, IA","$1,534",320,"3,047","$207,596"
132,"Athens-Clarke County, GA","$1,579",595,"2,632","$202,418"
132,"Athens-Clarke County, GA","$1,579",595,"2,632","$202,418"
134,"Abilene, TX","$1,580",469,"1,995","$197,763"
135,"Riverside, CA","$1,580",516,"3,240","$505,395"
136,"West Valley, UT","$1,582",441,"2,869","$218,346"
137,"Reno, NV","$1,582",572,"2,556","$433,006"
138,"Arlington, TX","$1,593",580,"2,525","$623,943"
139,"Worcester, MA","$1,595",603,"1,667","$329,443"
140,"Boulder, CO","$1,601",371,"3,000","$165,011"
141,"Tempe, AZ","$1,637",584,"4,334","$306,893"
142,"Murfreesboro, TN","$1,641",511,"2,110","$265,486"
143,"Renton, WA","$1,646",369,"4,628","$170,601"
144,"Visalia, CA","$1,652",497,"2,373","$238,145"
145,"Mesquite, TX","$1,670",467,"3,649","$245,893"
146,"Clarksville, TN","$1,679",498,"1,999","$293,451"
147,"Anaheim, CA","$1,707",766,"2,769","$588,442"
148,"New York, NY","$1,722",744,"2,141","$14,182,760"
149,"Fargo, ND","$1,780",617,"4,147","$227,179"
150,"Boston, MA","$1,787",619,"1,802","$1,141,993"
151,"Modesto, CA","$1,795",762,"2,403","$393,229"
152,"Bridgeport, CT","$1,819",408,"1,242","$269,875"
153,"Davenport, IA","$1,819",698,"3,481","$182,695"
154,"Salinas, CA","$1,824",521,"1,677","$295,853"
155,"Odessa, TX","$1,827",520,"2,068","$201,222"
156,"Omaha, NE","$1,829",561,"3,468","$887,521"
157,"St. Petersburg, FL","$1,837",629,"2,663","$473,597"
158,"North Las Vegas, NV","$1,848",422,"1,774","$525,673"
159,"Lexington, KY","$1,853",270,"2,716","$594,775"
160,"Lynn, MA","$1,856",655,"1,190","$187,523"
161,"Downey, CA","$1,900",461,"2,650","$207,546"
162,"Kent, WA","$1,905",459,"5,528","$253,542"
163,"Austin, TX","$1,909",540,"3,590","$1,842,337"
164,"Long Beach, CA","$1,921",549,"2,599","$859,646"
165,"Chesapeake, VA","$1,930",417,"2,011","$489,634"
166,"Antioch, CA","$1,955",614,"2,211","$223,555"
167,"Gresham, OR","$1,957",435,"2,946","$218,418"
168,"Fairfield, CA","$1,964",493,"2,546","$234,805"
169,"Columbia, MO","$1,981",472,"2,615","$253,355"
170,"Longmont, CO","$1,984",443,"2,822","$200,718"
171,"Raleigh, NC","$1,987",500,"2,335","$935,370"
172,"Greeley, CO","$2,008",582,"3,162","$219,383"
173,"Glendale, AZ","$2,013",545,"3,240","$504,136"
174,"Brockton, MA","$2,032",647,"1,730","$223,665"
175,"Las Vegas Metropolitan Police Department, NV","$2,066",516,"2,918","$3,446,557"
176,"Pasadena, TX","$2,083",627,"2,802","$304,043"
177,"San Francisco, CA","$2,092",696,"6,246","$1,599,817"
178,"Midland, TX","$2,114",492,"1,910","$274,665"
179,"Tampa, FL","$2,149",497,"1,674","$838,358"
180,"Bakersfield, CA","$2,160",546,"3,972","$889,675"
181,"Columbus, GA","$2,168",630,"2,351","$444,512"
182,"Columbia, SC","$2,187",599,"2,856","$301,250"
183,"Springfield, IL","$2,191",770,"4,244","$246,593"
184,"Wilmington, NC","$2,200",532,"2,866","$262,112"
185,"Pomona, CA","$2,205",591,"3,017","$321,018"
186,"Palmdale, CA","$2,207",557,"1,550","$358,154"
187,"Vancouver, WA","$2,227",636,"5,576","$430,515"
188,"Fort Worth, TX","$2,237",502,"2,740","$2,121,737"
189,"Tyler, TX","$2,247",530,"2,327","$243,624"
190,"Santa Maria, CA","$2,252",650,"2,775","$246,637"
191,"New Haven, CT","$2,260",555,"3,101","$307,766"
192,"Everett, WA","$2,277",443,"4,351","$252,011"
193,"Lancaster, CA","$2,283",868,"1,876","$382,323"
194,"Independence, MO","$2,311",528,"3,309","$280,183"
195,"Miami, FL","$2,319",586,"3,285","$1,042,212"
196,"Oklahoma City, OK","$2,328",642,"3,059","$1,612,604"
197,"Spokane, WA","$2,343",672,"5,736","$537,262"
198,"Colorado Springs, CO","$2,388",643,"3,400","$1,164,917"
199,"Killeen, TX","$2,391",542,"1,747","$381,460"
200,"Seattle, WA","$2,394",838,"5,721","$1,747,124"
201,"Hampton, VA","$2,396",270,"2,906","$332,605"
202,"Las Cruces, NM","$2,406",617,"5,340","$274,489"
203,"Waterbury, CT","$2,420",390,"2,874","$274,576"
204,"Waco, TX","$2,421",643,"3,229","$341,153"
205,"Springfield, MA","$2,450",862,"2,370","$379,837"
206,"Gainesville, FL","$2,473",785,"3,128","$359,082"
207,"Lakewood, CO","$2,489",814,"5,324","$390,920"
208,"High Point, NC","$2,509",548,"2,692","$286,771"
209,"Tuscaloosa, AL","$2,530",638,"2,882","$256,232"
210,"Los Angeles, CA","$2,539",834,"2,708","$9,671,140"
211,"Wichita, KS","$2,586",931,"3,524","$1,019,461"
212,"Charlotte-Mecklenburg, NC","$2,592",746,"3,375","$2,476,251"
212,"Charlotte-Mecklenburg, NC","$2,592",746,"3,375","$2,476,251"
214,"Sacramento, CA","$2,638",902,"3,167","$1,392,919"
215,"Wichita Falls, TX","$2,653",470,"2,868","$274,134"
216,"Jackson, MS","$2,670",1559,742,"$389,926"
217,"Columbus, OH","$2,683",450,"3,484","$2,436,715"
218,"Orlando, FL","$2,721",836,"4,028","$845,347"
219,"Tucson, AZ","$2,779",714,"4,148","$1,518,810"
220,"Fresno, CA","$2,780",865,"3,449","$1,520,549"
221,"Salt Lake City, UT","$2,783",978,"6,423","$560,437"
222,"Amarillo, TX","$2,811",763,"3,471","$566,683"
223,"Dallas, TX","$2,834",778,"3,813","$3,645,235"
224,"Jacksonville, FL","$2,838",684,"2,571","$2,756,956"
225,"Syracuse, NY","$2,856",891,"3,051","$414,619"
226,"Grand Rapids, MI","$2,872",979,"3,006","$564,849"
227,"Durham, NC","$2,890",687,"3,317","$827,734"
228,"Topeka, KS","$2,910",964,"3,708","$365,687"
229,"Newark, NJ","$2,936",520,"1,820","$893,491"
230,"Corpus Christi, TX","$2,942",791,"3,121","$934,547"
231,"Phoenix, AZ","$2,949",825,"2,902","$4,830,180"
232,"Victorville, CA","$2,956",940,"1,812","$405,434"
233,"Greensboro, NC","$2,962",819,"3,785","$884,861"
234,"St. Paul, MN","$2,978",766,"4,648","$826,430"
235,"Billings, MT","$3,008",929,"4,317","$354,569"
236,"Newport News, VA","$3,035",610,"2,302","$558,154"
237,"Lubbock, TX","$3,057",1063,"4,135","$807,521"
238,"Inglewood, CA","$3,062",665,"2,900","$314,993"
239,"Lafayette, LA","$3,106",479,"4,388","$377,577"
240,"Richmond, CA","$3,135",874,"2,709","$360,632"
241,"Anchorage, AK","$3,264",1151,"2,764","$932,846"
242,"Metropolitan Nashville Police Department, TN","$3,268",1102,"3,825","$2,220,972"
243,"Portland, OR","$3,319",751,"6,324","$2,091,275"
244,"Winston-Salem, NC","$3,365",1176,"3,894","$845,677"
245,"Tulsa, OK","$3,405",929,"4,272","$1,396,708"
246,"Stockton, CA","$3,504",1157,"2,744","$1,133,607"
247,"Knoxville, TN","$3,521",842,"3,908","$685,623"
248,"Chicago, IL","$3,553",540,"3,133","$9,469,058"
249,"Aurora, CO","$3,572",1077,"4,229","$1,400,743"
250,"Paterson, NJ","$3,614",1100,"2,224","$566,025"
251,"San Antonio, TX","$3,619",883,"5,069","$5,304,180"
252,"Rockford, IL","$3,628",1430,"2,635","$532,259"
253,"Fayetteville, NC","$3,635",978,"3,457","$759,745"
254,"Mobile, AL","$3,647",927,"3,013","$872,742"
255,"Chattanooga, TN","$3,647",1137,"5,221","$665,968"
256,"Springfield, MO","$3,647",1418,"4,909","$619,408"
257,"Denver, CO","$3,678",1070,"6,428","$2,593,734"
258,"Lansing, MI","$3,719",1279,"2,691","$418,619"
259,"Beaumont, TX","$3,751",1080,"3,882","$415,927"
260,"Vallejo, CA","$3,755",974,"4,232","$465,405"
261,"East Los Angeles, CA","$3,778",967,"3,178","$426,766"
262,"Richmond, VA","$3,788",360,"3,433","$861,137"
263,"Evansville, IN","$3,969",719,"3,767","$459,318"
264,"Akron, OH","$3,985",821,"3,429","$751,309"
265,"Savannah, GA","$4,037",845,"3,464","$597,373"
266,"South Fulton, GA","$4,091",1041,"2,638","$450,453"
267,"Houston, TX","$4,098",1142,"4,582","$9,328,930"
268,"Buffalo, NY","$4,132",736,"3,211","$1,139,289"
269,"Minneapolis, MN","$4,202",1226,"5,262","$1,786,105"
270,"Cincinnati, OH","$4,324",842,"3,751","$1,330,850"
271,"Louisville, KY","$4,395",912,"3,678","$2,744,477"
272,"Pittsburgh, PA","$4,418",1433,"2,109","$1,338,298"
273,"South Bend, IN","$4,427",1412,"2,995","$469,235"
274,"Indianapolis, IN","$4,515",1028,"3,377","$4,002,486"
275,"Norfolk, VA","$4,562",703,"4,872","$1,064,892"
276,"Shreveport, LA","$4,589",811,"3,790","$829,435"
277,"Washington, DC","$4,641",745,"3,484","$3,117,686"
278,"Hartford, CT","$4,644",570,"2,478","$560,452"
279,"Peoria, IL","$4,649",1189,"3,138","$513,964"
280,"Toledo, OH","$4,652",1163,"3,081","$1,242,061"
281,"Kansas City, KS","$4,847",994,"4,167","$739,457"
282,"Albuquerque, NM","$4,916",1380,"4,796","$2,755,599"
283,"Rochester, NY","$4,963",731,"3,581","$1,043,578"
284,"North Charleston, SC","$4,976",942,"4,805","$593,133"
285,"Tacoma, WA","$5,140",1610,"8,540","$1,125,815"
286,"Dayton, OH","$5,146",1171,"4,286","$705,374"
287,"Baton Rouge, LA","$5,388",1028,"5,852","$1,184,971"
288,"Atlanta, GA","$5,502",841,"3,748","$2,727,534"
289,"Philadelphia, PA","$5,570",1041,"4,321","$8,665,660"
290,"San Bernardino, CA","$5,691",1186,"2,955","$1,266,959"
291,"Oakland, CA","$5,710",1521,"6,475","$2,446,202"
292,"Pueblo, CO","$5,979",1621,"6,390","$673,312"
293,"Kansas City, MO","$6,398",1481,"4,715","$3,255,798"
294,"Milwaukee, WI","$7,029",1509,"3,507","$3,948,738"
295,"Cleveland, OH","$7,397",1614,"4,317","$2,675,317"
296,"Little Rock, AR","$7,781",1833,"5,349","$1,567,897"
297,"Baltimore, MD","$8,160",1553,"3,277","$4,655,501"
298,"Memphis, TN","$9,056",2421,"7,166","$5,659,341"
299,"Detroit, MI","$9,281",2028,"4,478","$5,817,110"
300,"St. Louis, MO","$11,055",1472,"7,254","$3,162,440"
301,"New Orleans, LA","$11,094",1444,"4,641","$4,106,040"
302,"Birmingham, AL","$11,392",1682,"4,173","$2,222,033"
